No of Trainings | Percentage0th training :=  Win Percent :21.9 | Draw Percent :13.3 | Lost Percent :64.8
128th training :=  Win Percent :21.4 | Draw Percent :13.5 | Lost Percent :65.1
129th training :=  Win Percent :24.2 | Draw Percent :14.4 | Lost Percent :61.4
130th training :=  Win Percent :24.4 | Draw Percent :12.7 | Lost Percent :62.9
131th training :=  Win Percent :24 | Draw Percent :13.6 | Lost Percent :62.4
132th training :=  Win Percent :21.9 | Draw Percent :15.4 | Lost Percent :62.7
133th training :=  Win Percent :22.3 | Draw Percent :16.9 | Lost Percent :60.8
134th training :=  Win Percent :22.2 | Draw Percent :13.5 | Lost Percent :64.3
135th training :=  Win Percent :23.9 | Draw Percent :16.2 | Lost Percent :59.9
136th training :=  Win Percent :22.8 | Draw Percent :13.9 | Lost Percent :63.3
137th training :=  Win Percent :19.8 | Draw Percent :15.3 | Lost Percent :64.9
138th training :=  Win Percent :23.1 | Draw Percent :13.1 | Lost Percent :63.8
139th training :=  Win Percent :23.3 | Draw Percent :15.3 | Lost Percent :61.4
140th training :=  Win Percent :22.8 | Draw Percent :14.7 | Lost Percent :62.5
141th training :=  Win Percent :20.5 | Draw Percent :14.3 | Lost Percent :65.2
142th training :=  Win Percent :23.3 | Draw Percent :12.4 | Lost Percent :64.3
143th training :=  Win Percent :22.7 | Draw Percent :14.2 | Lost Percent :63.1
144th training :=  Win Percent :21.9 | Draw Percent :12.6 | Lost Percent :65.5
145th training :=  Win Percent :21.6 | Draw Percent :15 | Lost Percent :63.4
146th training :=  Win Percent :21.6 | Draw Percent :17.9 | Lost Percent :60.5
147th training :=  Win Percent :22.4 | Draw Percent :14.6 | Lost Percent :63
148th training :=  Win Percent :24.1 | Draw Percent :15.7 | Lost Percent :60.2
149th training :=  Win Percent :24.6 | Draw Percent :13.3 | Lost Percent :62.1
150th training :=  Win Percent :21.8 | Draw Percent :13.1 | Lost Percent :65.1
151th training :=  Win Percent :21.4 | Draw Percent :16.4 | Lost Percent :62.2
152th training :=  Win Percent :24 | Draw Percent :15.9 | Lost Percent :60.1
153th training :=  Win Percent :22.6 | Draw Percent :14.2 | Lost Percent :63.2
154th training :=  Win Percent :22.2 | Draw Percent :13.6 | Lost Percent :64.2
155th training :=  Win Percent :23.3 | Draw Percent :15.7 | Lost Percent :61
156th training :=  Win Percent :23.1 | Draw Percent :14.2 | Lost Percent :62.7
157th training :=  Win Percent :23.2 | Draw Percent :15.6 | Lost Percent :61.2
158th training :=  Win Percent :21.8 | Draw Percent :15.3 | Lost Percent :62.9
159th training :=  Win Percent :23.6 | Draw Percent :13.3 | Lost Percent :63.1
160th training :=  Win Percent :21 | Draw Percent :14.4 | Lost Percent :64.6
161th training :=  Win Percent :24 | Draw Percent :15.6 | Lost Percent :60.4
162th training :=  Win Percent :22.6 | Draw Percent :15.1 | Lost Percent :62.3
163th training :=  Win Percent :22.5 | Draw Percent :12.9 | Lost Percent :64.6
164th training :=  Win Percent :20.9 | Draw Percent :15.6 | Lost Percent :63.5
165th training :=  Win Percent :23.9 | Draw Percent :14 | Lost Percent :62.1
166th training :=  Win Percent :22.3 | Draw Percent :14.7 | Lost Percent :63
167th training :=  Win Percent :20.5 | Draw Percent :16.2 | Lost Percent :63.3
168th training :=  Win Percent :24.6 | Draw Percent :12.5 | Lost Percent :62.9
169th training :=  Win Percent :22.3 | Draw Percent :14.7 | Lost Percent :63
170th training :=  Win Percent :23.5 | Draw Percent :14.3 | Lost Percent :62.2
171th training :=  Win Percent :23 | Draw Percent :14 | Lost Percent :63
172th training :=  Win Percent :21 | Draw Percent :15.8 | Lost Percent :63.2
173th training :=  Win Percent :22.3 | Draw Percent :12.9 | Lost Percent :64.8
174th training :=  Win Percent :22.5 | Draw Percent :16.7 | Lost Percent :60.8
175th training :=  Win Percent :22.7 | Draw Percent :16.6 | Lost Percent :60.7
176th training :=  Win Percent :21.8 | Draw Percent :13.6 | Lost Percent :64.6
177th training :=  Win Percent :23.9 | Draw Percent :14 | Lost Percent :62.1
178th training :=  Win Percent :22.3 | Draw Percent :15.7 | Lost Percent :62
179th training :=  Win Percent :23.5 | Draw Percent :14.6 | Lost Percent :61.9
180th training :=  Win Percent :22.9 | Draw Percent :16 | Lost Percent :61.1
181th training :=  Win Percent :22.2 | Draw Percent :15.7 | Lost Percent :62.1
182th training :=  Win Percent :24.5 | Draw Percent :13.4 | Lost Percent :62.1
183th training :=  Win Percent :23.1 | Draw Percent :15.4 | Lost Percent :61.5
184th training :=  Win Percent :23.7 | Draw Percent :15.6 | Lost Percent :60.7
185th training :=  Win Percent :22.6 | Draw Percent :12.6 | Lost Percent :64.8
186th training :=  Win Percent :22.4 | Draw Percent :15.2 | Lost Percent :62.4
187th training :=  Win Percent :22.7 | Draw Percent :14 | Lost Percent :63.3
188th training :=  Win Percent :21.5 | Draw Percent :16.3 | Lost Percent :62.2
189th training :=  Win Percent :22.3 | Draw Percent :13.9 | Lost Percent :63.8
190th training :=  Win Percent :25.1 | Draw Percent :15.4 | Lost Percent :59.5
191th training :=  Win Percent :21.8 | Draw Percent :13.9 | Lost Percent :64.3
192th training :=  Win Percent :22 | Draw Percent :14.9 | Lost Percent :63.1
193th training :=  Win Percent :21.3 | Draw Percent :14.2 | Lost Percent :64.5
194th training :=  Win Percent :25.9 | Draw Percent :13.7 | Lost Percent :60.4
195th training :=  Win Percent :23.6 | Draw Percent :13.3 | Lost Percent :63.1
196th training :=  Win Percent :22.9 | Draw Percent :13 | Lost Percent :64.1
197th training :=  Win Percent :21.3 | Draw Percent :14.3 | Lost Percent :64.4
198th training :=  Win Percent :23.9 | Draw Percent :15.8 | Lost Percent :60.3
199th training :=  Win Percent :23.9 | Draw Percent :14.8 | Lost Percent :61.3
200th training :=  Win Percent :20.3 | Draw Percent :14.3 | Lost Percent :65.4
201th training :=  Win Percent :22.1 | Draw Percent :14.2 | Lost Percent :63.7
202th training :=  Win Percent :21.8 | Draw Percent :14.7 | Lost Percent :63.5
203th training :=  Win Percent :19.5 | Draw Percent :11.6 | Lost Percent :68.9
204th training :=  Win Percent :19.9 | Draw Percent :15 | Lost Percent :65.1
205th training :=  Win Percent :22.6 | Draw Percent :15.5 | Lost Percent :61.9
206th training :=  Win Percent :24.7 | Draw Percent :12.7 | Lost Percent :62.6
207th training :=  Win Percent :22.4 | Draw Percent :13.8 | Lost Percent :63.8
208th training :=  Win Percent :22.5 | Draw Percent :15.1 | Lost Percent :62.4
209th training :=  Win Percent :23.7 | Draw Percent :13.9 | Lost Percent :62.4
210th training :=  Win Percent :21.4 | Draw Percent :13 | Lost Percent :65.6
211th training :=  Win Percent :21.4 | Draw Percent :14.7 | Lost Percent :63.9
212th training :=  Win Percent :22.5 | Draw Percent :15.6 | Lost Percent :61.9
213th training :=  Win Percent :23.5 | Draw Percent :15.3 | Lost Percent :61.2
214th training :=  Win Percent :22.3 | Draw Percent :15 | Lost Percent :62.7
215th training :=  Win Percent :22.1 | Draw Percent :14.5 | Lost Percent :63.4
216th training :=  Win Percent :22.1 | Draw Percent :16.3 | Lost Percent :61.6
217th training :=  Win Percent :19.7 | Draw Percent :14.6 | Lost Percent :65.7
218th training :=  Win Percent :24.6 | Draw Percent :15.5 | Lost Percent :59.9
219th training :=  Win Percent :22.9 | Draw Percent :15.4 | Lost Percent :61.7
220th training :=  Win Percent :23.4 | Draw Percent :11.8 | Lost Percent :64.8
221th training :=  Win Percent :22.4 | Draw Percent :16.5 | Lost Percent :61.1
222th training :=  Win Percent :21.4 | Draw Percent :15.1 | Lost Percent :63.5
223th training :=  Win Percent :24.2 | Draw Percent :14.1 | Lost Percent :61.7
224th training :=  Win Percent :23.9 | Draw Percent :15.9 | Lost Percent :60.2
225th training :=  Win Percent :23.1 | Draw Percent :12.5 | Lost Percent :64.4
226th training :=  Win Percent :20 | Draw Percent :13.6 | Lost Percent :66.4
227th training :=  Win Percent :22.4 | Draw Percent :15 | Lost Percent :62.6
228th training :=  Win Percent :22.3 | Draw Percent :14.1 | Lost Percent :63.6
