No of Trainings | Percentage0th training :=  Win Percent :70 | Draw Percent :30
224th training :=  Win Percent :100 | Draw Percent :0
225th training :=  Win Percent :100 | Draw Percent :0
226th training :=  Win Percent :100 | Draw Percent :0
227th training :=  Win Percent :100 | Draw Percent :0
228th training :=  Win Percent :100 | Draw Percent :0
229th training :=  Win Percent :70 | Draw Percent :10
230th training :=  Win Percent :90 | Draw Percent :0
231th training :=  Win Percent :100 | Draw Percent :0
232th training :=  Win Percent :90 | Draw Percent :10
233th training :=  Win Percent :100 | Draw Percent :0
234th training :=  Win Percent :100 | Draw Percent :0
235th training :=  Win Percent :100 | Draw Percent :0
236th training :=  Win Percent :100 | Draw Percent :0
237th training :=  Win Percent :100 | Draw Percent :0
238th training :=  Win Percent :90 | Draw Percent :10
239th training :=  Win Percent :100 | Draw Percent :0
240th training :=  Win Percent :100 | Draw Percent :0
241th training :=  Win Percent :100 | Draw Percent :0
242th training :=  Win Percent :90 | Draw Percent :10
243th training :=  Win Percent :100 | Draw Percent :0
244th training :=  Win Percent :90 | Draw Percent :10
245th training :=  Win Percent :70 | Draw Percent :10
246th training :=  Win Percent :100 | Draw Percent :0
247th training :=  Win Percent :100 | Draw Percent :0
248th training :=  Win Percent :100 | Draw Percent :0
249th training :=  Win Percent :90 | Draw Percent :10
250th training :=  Win Percent :90 | Draw Percent :10
251th training :=  Win Percent :90 | Draw Percent :10
252th training :=  Win Percent :100 | Draw Percent :0
253th training :=  Win Percent :100 | Draw Percent :0
254th training :=  Win Percent :100 | Draw Percent :0
255th training :=  Win Percent :90 | Draw Percent :0
256th training :=  Win Percent :100 | Draw Percent :0
257th training :=  Win Percent :70 | Draw Percent :30
258th training :=  Win Percent :90 | Draw Percent :10
259th training :=  Win Percent :80 | Draw Percent :20
260th training :=  Win Percent :100 | Draw Percent :0
261th training :=  Win Percent :90 | Draw Percent :10
262th training :=  Win Percent :100 | Draw Percent :0
263th training :=  Win Percent :100 | Draw Percent :0
264th training :=  Win Percent :100 | Draw Percent :0
265th training :=  Win Percent :90 | Draw Percent :10
266th training :=  Win Percent :90 | Draw Percent :10
267th training :=  Win Percent :80 | Draw Percent :0
268th training :=  Win Percent :90 | Draw Percent :10
269th training :=  Win Percent :90 | Draw Percent :10
270th training :=  Win Percent :100 | Draw Percent :0
271th training :=  Win Percent :60 | Draw Percent :40
272th training :=  Win Percent :100 | Draw Percent :0
273th training :=  Win Percent :70 | Draw Percent :10
274th training :=  Win Percent :90 | Draw Percent :10
275th training :=  Win Percent :100 | Draw Percent :0
276th training :=  Win Percent :100 | Draw Percent :0
