No of Trainings | Percentage0th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
150th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
151th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
152th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
153th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
154th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
155th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
156th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
157th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
158th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
159th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
160th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
161th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
162th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
163th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
164th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
165th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
166th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
167th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
168th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
169th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
170th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
171th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
172th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
173th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
174th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
175th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
176th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
177th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
178th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
179th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
180th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
181th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
182th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
183th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
184th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
