No of Trainings | Percentage0th training :=  Win Percent :81.4 | Draw Percent :12.2 | Lost Percent :6.4
112th training :=  Win Percent :91.4 | Draw Percent :4.5 | Lost Percent :4.1
113th training :=  Win Percent :91.3 | Draw Percent :4.6 | Lost Percent :4.1
114th training :=  Win Percent :91.4 | Draw Percent :4.2 | Lost Percent :4.4
115th training :=  Win Percent :90.6 | Draw Percent :4.5 | Lost Percent :4.9
116th training :=  Win Percent :91.8 | Draw Percent :4.5 | Lost Percent :3.7
117th training :=  Win Percent :91.5 | Draw Percent :3.7 | Lost Percent :4.8
118th training :=  Win Percent :92.3 | Draw Percent :4.4 | Lost Percent :3.3
119th training :=  Win Percent :92.9 | Draw Percent :4.4 | Lost Percent :2.7
120th training :=  Win Percent :92.5 | Draw Percent :3.9 | Lost Percent :3.6
121th training :=  Win Percent :93.5 | Draw Percent :3.6 | Lost Percent :2.9
122th training :=  Win Percent :91.3 | Draw Percent :4.5 | Lost Percent :4.2
123th training :=  Win Percent :91.8 | Draw Percent :3.5 | Lost Percent :4.7
124th training :=  Win Percent :92.9 | Draw Percent :4 | Lost Percent :3.1
125th training :=  Win Percent :91.4 | Draw Percent :4.7 | Lost Percent :3.9
126th training :=  Win Percent :92.4 | Draw Percent :4 | Lost Percent :3.6
127th training :=  Win Percent :92.6 | Draw Percent :4.4 | Lost Percent :3
128th training :=  Win Percent :90.7 | Draw Percent :4.7 | Lost Percent :4.6
129th training :=  Win Percent :92.6 | Draw Percent :3.6 | Lost Percent :3.8
130th training :=  Win Percent :92.9 | Draw Percent :4.1 | Lost Percent :3
131th training :=  Win Percent :93.8 | Draw Percent :2.8 | Lost Percent :3.4
132th training :=  Win Percent :92.5 | Draw Percent :4.6 | Lost Percent :2.9
133th training :=  Win Percent :92.5 | Draw Percent :4.7 | Lost Percent :2.8
134th training :=  Win Percent :92.9 | Draw Percent :4.5 | Lost Percent :2.6
135th training :=  Win Percent :91.2 | Draw Percent :5 | Lost Percent :3.8
