No of Trainings | Percentage0th training :=  Win Percent :85 | Draw Percent :8 | Lost Percent :7
203th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
204th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
205th training :=  Win Percent :100 | Draw Percent :0 | Lost Percent :0
206th training :=  Win Percent :96 | Draw Percent :4 | Lost Percent :0
207th training :=  Win Percent :96 | Draw Percent :4 | Lost Percent :0
208th training :=  Win Percent :98 | Draw Percent :2 | Lost Percent :0
209th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
210th training :=  Win Percent :95 | Draw Percent :2 | Lost Percent :3
211th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
212th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
213th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
214th training :=  Win Percent :95 | Draw Percent :2 | Lost Percent :3
215th training :=  Win Percent :90 | Draw Percent :7 | Lost Percent :3
216th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
217th training :=  Win Percent :96 | Draw Percent :1 | Lost Percent :3
218th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
219th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
220th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
221th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
222th training :=  Win Percent :93 | Draw Percent :5 | Lost Percent :2
223th training :=  Win Percent :94 | Draw Percent :4 | Lost Percent :2
224th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
225th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
226th training :=  Win Percent :98 | Draw Percent :2 | Lost Percent :0
227th training :=  Win Percent :99 | Draw Percent :0 | Lost Percent :1
228th training :=  Win Percent :97 | Draw Percent :3 | Lost Percent :0
229th training :=  Win Percent :95 | Draw Percent :4 | Lost Percent :1
230th training :=  Win Percent :95 | Draw Percent :4 | Lost Percent :1
231th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
232th training :=  Win Percent :98 | Draw Percent :2 | Lost Percent :0
233th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
234th training :=  Win Percent :94 | Draw Percent :4 | Lost Percent :2
235th training :=  Win Percent :95 | Draw Percent :4 | Lost Percent :1
236th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
237th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
238th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
239th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
240th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
241th training :=  Win Percent :94 | Draw Percent :3 | Lost Percent :3
242th training :=  Win Percent :98 | Draw Percent :2 | Lost Percent :0
243th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
244th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
245th training :=  Win Percent :98 | Draw Percent :0 | Lost Percent :2
246th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
247th training :=  Win Percent :99 | Draw Percent :0 | Lost Percent :1
248th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
249th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
250th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
251th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
252th training :=  Win Percent :95 | Draw Percent :4 | Lost Percent :1
253th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
254th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
255th training :=  Win Percent :98 | Draw Percent :2 | Lost Percent :0
256th training :=  Win Percent :94 | Draw Percent :4 | Lost Percent :2
257th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
258th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
259th training :=  Win Percent :94 | Draw Percent :4 | Lost Percent :2
260th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
261th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
262th training :=  Win Percent :92 | Draw Percent :6 | Lost Percent :2
263th training :=  Win Percent :93 | Draw Percent :5 | Lost Percent :2
264th training :=  Win Percent :93 | Draw Percent :3 | Lost Percent :4
265th training :=  Win Percent :97 | Draw Percent :3 | Lost Percent :0
266th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
267th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
268th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
269th training :=  Win Percent :93 | Draw Percent :4 | Lost Percent :3
270th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
271th training :=  Win Percent :96 | Draw Percent :4 | Lost Percent :0
272th training :=  Win Percent :94 | Draw Percent :2 | Lost Percent :4
273th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
274th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
275th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
276th training :=  Win Percent :97 | Draw Percent :3 | Lost Percent :0
277th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
278th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
279th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
280th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
281th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
282th training :=  Win Percent :94 | Draw Percent :3 | Lost Percent :3
283th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
284th training :=  Win Percent :94 | Draw Percent :5 | Lost Percent :1
285th training :=  Win Percent :95 | Draw Percent :4 | Lost Percent :1
286th training :=  Win Percent :98 | Draw Percent :2 | Lost Percent :0
287th training :=  Win Percent :93 | Draw Percent :4 | Lost Percent :3
288th training :=  Win Percent :93 | Draw Percent :5 | Lost Percent :2
289th training :=  Win Percent :94 | Draw Percent :5 | Lost Percent :1
290th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
291th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
292th training :=  Win Percent :100 | Draw Percent :0 | Lost Percent :0
293th training :=  Win Percent :96 | Draw Percent :1 | Lost Percent :3
294th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
295th training :=  Win Percent :93 | Draw Percent :5 | Lost Percent :2
296th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
297th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
298th training :=  Win Percent :97 | Draw Percent :3 | Lost Percent :0
299th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
300th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
301th training :=  Win Percent :91 | Draw Percent :6 | Lost Percent :3
302th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
303th training :=  Win Percent :100 | Draw Percent :0 | Lost Percent :0
304th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
305th training :=  Win Percent :98 | Draw Percent :2 | Lost Percent :0
306th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
307th training :=  Win Percent :95 | Draw Percent :2 | Lost Percent :3
308th training :=  Win Percent :99 | Draw Percent :0 | Lost Percent :1
309th training :=  Win Percent :97 | Draw Percent :3 | Lost Percent :0
310th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
311th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
312th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
313th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
314th training :=  Win Percent :95 | Draw Percent :1 | Lost Percent :4
315th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
316th training :=  Win Percent :96 | Draw Percent :4 | Lost Percent :0
317th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
318th training :=  Win Percent :99 | Draw Percent :0 | Lost Percent :1
319th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
320th training :=  Win Percent :93 | Draw Percent :5 | Lost Percent :2
321th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
322th training :=  Win Percent :95 | Draw Percent :2 | Lost Percent :3
323th training :=  Win Percent :100 | Draw Percent :0 | Lost Percent :0
324th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
325th training :=  Win Percent :99 | Draw Percent :0 | Lost Percent :1
326th training :=  Win Percent :99 | Draw Percent :0 | Lost Percent :1
327th training :=  Win Percent :89 | Draw Percent :9 | Lost Percent :2
328th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
329th training :=  Win Percent :95 | Draw Percent :4 | Lost Percent :1
330th training :=  Win Percent :94 | Draw Percent :5 | Lost Percent :1
331th training :=  Win Percent :95 | Draw Percent :2 | Lost Percent :3
332th training :=  Win Percent :98 | Draw Percent :0 | Lost Percent :2
333th training :=  Win Percent :93 | Draw Percent :3 | Lost Percent :4
334th training :=  Win Percent :97 | Draw Percent :3 | Lost Percent :0
335th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
336th training :=  Win Percent :96 | Draw Percent :1 | Lost Percent :3
337th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
338th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
339th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
340th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
341th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
342th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
343th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
344th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
345th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
346th training :=  Win Percent :92 | Draw Percent :6 | Lost Percent :2
347th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
348th training :=  Win Percent :96 | Draw Percent :4 | Lost Percent :0
349th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
350th training :=  Win Percent :97 | Draw Percent :3 | Lost Percent :0
351th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
352th training :=  Win Percent :95 | Draw Percent :1 | Lost Percent :4
353th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
354th training :=  Win Percent :100 | Draw Percent :0 | Lost Percent :0
355th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
356th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
357th training :=  Win Percent :94 | Draw Percent :5 | Lost Percent :1
358th training :=  Win Percent :96 | Draw Percent :1 | Lost Percent :3
359th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
360th training :=  Win Percent :98 | Draw Percent :0 | Lost Percent :2
361th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
362th training :=  Win Percent :93 | Draw Percent :3 | Lost Percent :4
363th training :=  Win Percent :98 | Draw Percent :2 | Lost Percent :0
364th training :=  Win Percent :95 | Draw Percent :4 | Lost Percent :1
365th training :=  Win Percent :98 | Draw Percent :2 | Lost Percent :0
366th training :=  Win Percent :98 | Draw Percent :0 | Lost Percent :2
367th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
368th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
369th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
370th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
371th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
372th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
373th training :=  Win Percent :98 | Draw Percent :0 | Lost Percent :2
374th training :=  Win Percent :93 | Draw Percent :3 | Lost Percent :4
375th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
376th training :=  Win Percent :97 | Draw Percent :0 | Lost Percent :3
377th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
